Name,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
Image412,22,7,5,179,1,1,64,1,29,1
Image413,1,49,2,157,1,11,59,1,1,28
Image414,2,45,8,191,1,1,47,8,1,6
Image415,1,34,1,129,1,31,43,37,1,32
Image416,1,7,1,202,1,9,49,1,1,38
Image417,1,1,1,227,1,1,52,1,1,24
Image418,2,1,1,238,1,1,28,1,1,36
Image419,1,13,1,257,1,5,14,1,1,16
Image420,5,34,1,129,1,13,101,4,1,21
Image421,34,1,1,204,1,1,51,1,1,15
Image422,32,6,1,243,1,1,23,1,1,1
Image423,63,18,6,196,1,1,21,1,1,2
Image424,20,28,1,201,1,39,8,2,1,9
Image425,62,3,1,183,1,1,42,1,1,15
Image426,28,1,1,253,1,1,4,1,1,19
Image427,84,13,3,131,1,1,65,10,1,1
Image428,39,6,1,249,1,1,10,1,1,1
Image429,40,25,1,179,1,20,9,21,1,13
Image430,60,3,1,190,1,1,14,1,1,38
Image431,59,1,1,214,1,1,20,1,1,11
Image432,26,11,2,87,1,58,107,1,1,16
Image433,23,12,1,216,1,1,2,1,1,52
Image434,91,36,2,122,1,11,6,9,19,13
Image435,32,1,1,265,1,1,3,1,1,4
Image436,25,43,2,183,1,2,27,1,1,25
Image437,54,10,3,195,1,1,30,2,3,11
Image438,26,7,1,223,1,1,11,1,2,37
Image439,42,7,1,156,1,2,28,25,45,3
Image440,33,26,1,151,1,1,23,50,20,4
Image441,91,10,2,116,1,1,58,1,1,29
Image442,69,4,1,180,1,1,51,1,1,1
Image443,118,1,1,174,1,1,8,1,3,2
Image444,11,1,1,275,1,1,17,1,1,1
Image445,121,23,3,23,1,66,59,6,5,3
Image446,66,19,6,26,1,37,121,29,1,4
Image447,93,9,1,166,1,7,18,5,3,7
Image448,216,4,1,68,1,3,3,1,9,4
Image449,90,11,1,136,1,8,4,1,3,55
Image450,52,18,6,22,1,27,140,15,1,28
Image451,85,1,24,130,1,1,42,1,24,1
Image452,29,24,1,175,1,12,1,1,25,41
Image453,53,1,2,201,1,1,48,1,1,1
Image454,14,17,1,189,1,1,67,9,1,10
Image455,3,1,1,246,1,1,38,1,1,17
Image456,2,1,1,278,1,1,23,1,1,1
Image457,1,2,1,259,1,1,37,1,1,6
Image458,1,1,1,244,1,1,57,1,1,2
Image459,1,2,1,142,1,2,158,1,1,1
Image460,43,2,1,55,1,1,204,1,1,1
Image461,1,39,1,77,1,20,133,1,1,36
Image462,2,3,1,122,1,1,177,1,1,1
Image463,1,125,3,42,1,5,66,62,1,4
Image464,1,91,4,17,1,90,42,60,1,3
Image465,1,75,36,88,1,12,13,4,1,79
Image466,99,1,1,53,1,1,1,1,113,39
Image467,1,6,8,140,1,1,150,1,1,1
Image468,8,9,180,1,65,1,1,41,1,3
Image469,12,84,55,40,43,33,13,17,1,12
Image470,94,6,7,87,1,3,70,1,16,25
Image471,67,36,38,72,1,5,66,1,1,23
Image472,108,31,3,129,1,2,14,3,2,17
Image473,110,11,4,49,1,26,4,30,46,29
Image474,88,1,1,44,4,1,3,1,145,22
Image475,96,15,2,65,1,10,61,2,1,57
Image476,10,80,52,3,5,45,24,70,1,20
